m1_surv,m2_surv
0.84315,0.9366
0.84315,0.9366
0.84315,0.9366
0.84315,0.9366
0.83915,0.9366
0.83915,0.9366
0.83915,0.9366
0.83915,0.9366
0.83915,0.9366
0.83341,0.9366
0.83341,0.9366
0.83341,0.9366
0.83341,0.9366
0.83341,0.9366
0.83341,0.9366
0.83341,0.9366
0.83341,0.9366
0.83341,0.9351
0.83341,0.9351
0.83341,0.9351
0.83341,0.9351
0.83341,0.9351
0.83341,0.9351
0.83341,0.9351
0.83341,0.9351
0.83341,0.9351
0.83341,0.9351
0.83341,0.9351
0.83341,0.9351
0.83341,0.9351
0.83341,0.93358
0.83341,0.93358
0.83341,0.93204
0.83341,0.93204
0.83341,0.93204
0.83341,0.93049
0.83341,0.93049
0.83341,0.93049
0.83341,0.93049
0.82716,0.93049
0.82716,0.93049
0.82716,0.93049
0.82716,0.93049
0.82296,0.93049
0.82296,0.93049
0.82296,0.93049
0.82296,0.93049
0.82296,0.93049
0.82296,0.92893
0.82296,0.92893
0.82296,0.92893
0.82296,0.92736
0.82296,0.92736
0.82296,0.92736
0.82296,0.92736
0.81822,0.92736
0.8126,0.92736
0.8126,0.92736
0.8126,0.92736
0.8126,0.92736
0.8126,0.92736
0.8126,0.92736
0.8126,0.92576
0.8126,0.92576
0.8126,0.92576
0.8126,0.92576
0.8126,0.92576
0.8126,0.92576
0.8126,0.92576
0.8126,0.92576
0.8126,0.92576
0.8126,0.92576
0.8126,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92413
0.80721,0.92413
0.80721,0.92413
0.80721,0.92413
0.80721,0.92413
0.80721,0.92413
0.80721,0.92413
0.80721,0.92413
0.80721,0.92413
0.80721,0.9225
0.80721,0.9225
0.80721,0.9225
